,Book Title,Author,Description,Genre
10,City of Bones,Cassandra Clare,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
11,Clockwork Angel,Cassandra Clare,"In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Fiction']"
12,Pride and Prejudice and Zombies,"Seth Grahame-Smith, Jane Austen","“It is a truth universally acknowledged that a zombie in possession of brains must be in want of more brains.”So begins Pride and Prejudice and Zombies, an expanded edition of the beloved Jane Austen novel featuring all-new scenes of bone-crunching zombie mayhem. As our story opens, a mysterious plague has fallen upon the quiet English village of Meryton—and the dead are returning to life! Feisty heroine Elizabeth Bennet is determined to wipe out the zombie menace, but she’s soon distracted by the arrival of the haughty and arrogant Mr. Darcy. What ensues is a delightful comedy of manners with plenty of civilized sparring between the two young lovers—and even more violent sparring on the blood-soaked battlefield. Can Elizabeth vanquish the spawn of Satan? And overcome the social prejudices of the class-conscious landed gentry? Complete with romance, heartbreak, swordfights, cannibalism, and thousands of rotting corpses,","['Horror', 'Fiction', 'Fantasy', 'Zombies', 'Humor', 'Romance', 'Classics']"
13,The Host,Stephenie Meyer,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
 - 
ACE #2
","['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Fiction', 'Dystopia', 'Paranormal']"
14,Halo,Alexandra Adornetto,"An angel is sent to Earth on a mission.But falling in love is not part of the plan.Three angels – Gabriel, the warrior; Ivy, the healer; and Bethany, the youngest and most human – are sent by Heaven to bring good to a world falling under the influence of darkness. They work hard to conceal their luminous glow, superhuman powers, and, most dangerous of all, their wings, all the while avoiding all human attachments.Then Bethany meets Xavier Woods, and neither of them is able to resist the attraction between them. Gabriel and Ivy do everything in their power to intervene, but the bond between Xavier and Bethany seems too strong.The angel’s mission is urgent, and dark forces are threatening. Will love ruin Bethany or save her?","['Young Adult', 'Angels', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural']"
15,Wicked Lovely,Melissa Marr,"Rule #3: Don't stare at invisible faeries.Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.Rule #2: Don't speak to invisible faeries.Now faeries are stalking her. One of them, Keenan, who is equal parts terrifying and alluring, is trying to talk to her, asking questions Aislinn is afraid to answer.Rule #1: Don't ever attract their attention.But it's too late. Keenan is the Summer King, who has sought his queen for nine centuries. Without her, summer itself will perish. He is determined that Aislinn will become the Summer Queen at any cost — regardless of her plans or desires.Suddenly none of the rules that have kept Aislinn safe are working anymore, and everything is on the line: her freedom; her best friend, Seth; her life; everything.Faery intrigue, mortal love, and the clash of ancient rules and modern expectations swirl together in Melissa Marr's stunning twenty-first-century faery tale.","['Fantasy', 'Young Adult', 'Romance', 'Urban Fantasy', 'Fae', 'Fairies', 'Fiction']"
16,A Great and Terrible Beauty,Libba Bray,"In this debut gothic novel mysterious visions, dark family secrets and a long-lost diary thrust Gemma and her classmates back into the horrors that followed her from India. (Ages 12+)It's 1895, and after the suicide of her mother, 16-year-old Gemma Doyle is shipped off from the life she knows in India to Spence, a proper boarding school in England. Lonely, guilt-ridden, and prone to visions of the future that have an uncomfortable habit of coming true, Gemma's reception there is a chilly one. To make things worse, she's been followed by a mysterious young Indian man, a man sent to watch her. But why? What is her destiny? And what will her entanglement with Spence's most powerful girls—and their foray into the spiritual world—lead to?","['Fantasy', 'Young Adult', 'Historical Fiction', 'Fiction', 'Historical', 'Paranormal', 'Romance']"
17,To Kill a Mockingbird,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']"
18,Water for Elephants,Sara Gruen,"When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her. Beautifully written, Water for Elephants is illuminated by a wonderful sense of time and place. It tells a story of a love between two people that overcomes incredible odds in a world in which even love is a luxury that few can afford.","['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
19,The Lightning Thief,Rick Riordan,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
20,The Hunger Games,Suzanne Collins,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.","['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Teen', 'Post Apocalyptic']"
21,1984,"George Orwell, Thomas Pynchon (Foreword)",A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be found here.,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']"
22,Nightshade,Andrea Cremer,"Calla Tor has always known her destiny: After graduating from the Mountain School, she'll be the mate of sexy alpha wolf Ren Laroche and fight with him, side by side, ruling their pack and guarding sacred sites for the Keepers. But when she violates her masters' laws by saving a beautiful human boy out for a hike, Calla begins to question her fate, her existence, and the very essence of the world she has known. By following her heart, she might lose everything- including her own life. Is forbidden love worth the ultimate sacrifice?""A finely-wrought compelling tale of romance and treachery...""-Cynthia Leitich Smith(New York Times bestselling author of Eternal and Tantalize)","['Young Adult', 'Fantasy', 'Paranormal', 'Werewolves', 'Romance', 'Paranormal Romance', 'Supernatural']"
23,Torment,Lauren Kate,"Hell on earth.That’s what it’s like for Luce to be apart from her fallen angel boyfriend, Daniel. It took them an eternity to find one another, but now he has told her he must go away. Just long enough to hunt down the Outcasts—immortals who want to kill Luce. Daniel hides Luce at Shoreline, a school on the rocky California coast with unusually gifted students: Nephilim, the offspring of fallen angels and humans.At Shoreline, Luce learns what the Shadows are, and how she can use them as windows to her previous lives. Yet the more Luce learns, the more she suspects that Daniel hasn’t told her everything. He’s hiding something—something dangerous. What if Daniel’s version of the past isn’t actually true? What if Luce is really meant to be with someone else?","['Young Adult', 'Fantasy', 'Romance', 'Angels', 'Paranormal', 'Paranormal Romance', 'Supernatural']"
24,The Luxe,Anna Godbersen,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure, suddenly everyone--from the backstabbing socialite Penelope Hayes, to the debonair bachelor Henry Schoonmaker, to the spiteful maid Lina Broud--threatens Elizabeth's and Diana's golden future. With the fate of the Hollands resting on her shoulders, Elizabeth must choose between family duty and true love. But when her carriage overturns near the East River, the girl whose glittering life lit up the city's gossip pages is swallowed by the rough current. As all of New York grieves, some begin to wonder whether life at the top proved too much for this ethereal beauty, or if, perhaps, someone wanted to see Manhattan's most celebrated daughter disappear... In a world of luxury and deception, where appearance matters above everything and breaking the social code means running the risk of being ostracized forever, five teenagers lead dangerously scandalous lives. This thrilling trip to the age of innocence is anything but innocent.","['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Historical Romance', 'Chick Lit']"
25,Speak,Laurie Halse Anderson,"The first ten lies they tell you in high school.""Speak up for yourself—we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.Speak was a 1999 National Book Award Finalist for Young People's Literature.","['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Coming Of Age', 'Teen']"
26,The Book Thief,Markus Zusak,"Librarian's note: An alternate cover edition can be found hereIt is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.(Note: this title was not published as YA fiction)","['Historical Fiction', 'Fiction', 'Young Adult', 'Classics', 'Historical', 'War', 'World War II']"
27,The Book of Lost Things,John Connolly,"High in his attic bedroom, twelve-year-old David mourns the death of his mother, with only the books on his shelf for company. But those books have begun to whisper to him in the darkness. Angry and alone, he takes refuge in his imagination and soon finds that reality and fantasy have begun to meld. While his family falls apart around him, David is violently propelled into a world that is a strange reflection of his own -- populated by heroes and monsters and ruled by a faded king who keeps his secrets in a mysterious book, The Book of Lost Things.Taking readers on a vivid journey through the loss of innocence into adulthood and beyond, New York Times bestselling author John Connolly tells a dark and compelling tale that reminds us of the enduring power of stories in our lives.","['Fantasy', 'Fiction', 'Young Adult', 'Horror', 'Fairy Tales', 'Books About Books', 'Adventure']"
28,Coraline,"Neil Gaiman, Dave McKean (illustrator)","The day after they moved in, Coraline went exploring....In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. Only it's different. At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to change her and never let her go. Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself. Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.","['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Paranormal']"
29,Uglies,Scott Westerfeld,"Tally is about to turn sixteen, and she can't wait. In just a few weeks she'll have the operation that will turn her from a repellent ugly into a stunning pretty. And as a pretty, she'll be catapulted into a high-tech paradise where her only job is to have fun.But Tally's new friend Shay isn't sure she wants to become a pretty. When Shay runs away, Tally learns about a whole new side of the pretty world—and it isn't very pretty. The authorities offer Tally a choice: find her friend and turn her in, or never turn pretty at all. Tally's choice will change her world forever....","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen']"
30,Tithe,Holly Black,"Welcome to the realm of very scary faeries!Sixteen-year-old Kaye is a modern nomad. Fierce and independent, she travels from city to city with her mother's rock band until an ominous attack forces Kaye back to her childhood home. There, amid the industrial, blue-collar New Jersey backdrop, Kaye soon finds herself an unwilling pawn in an ancient power struggle between two rival faerie kingdoms - a struggle that could very well mean her death.","['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fae', 'Romance', 'Fiction', 'Paranormal']"
31,Matched,Ally Condie,"In the Society, officials decide. Who you love. Where you work. When you die.Cassia has always trusted their choices. It’s hardly any price to pay for a long life, the perfect job, the ideal mate. So when her best friend appears on the Matching screen, Cassia knows with complete certainty that he is the one…until she sees another face flash for an instant before the screen fades to black. Now Cassia is faced with impossible choices: between Xander and Ky, between the only life she’s known and a path no one else has ever dared follow—between perfection and passion.Matched is a story for right now and storytelling with the resonance of a classic.","['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Teen']"
32,The Monsters of Templeton,Lauren Groff,"""The day I returned to Templeton steeped in disgrace, the fifty-foot corpse of a monster surfaced in Lake Glimmerglass."" So begins The Monsters of Templeton, a novel spanning two centuries: part a contemporary story of a girl's search for her father, part historical novel, and part ghost story, this spellbinding novel is at its core a tale of how one town holds the secrets of a family. In the wake of a wildly disastrous affair with her married archeology professor, Willie Upton arrives on the doorstep of her ancestral home in Templeton, New York, where her hippie-turned-born-again-Baptist mom, Vi, still lives. Willie expects to be able to hide in the place that has been home to her family for generations, but the monster's death changes the fabric of the quiet, picture-perfect town her ancestors founded. Even further, Willie learns that the story her mother had always told her about her father has all been a lie: he wasn't the random man from a free-love commune that Vi had led her to imagine, but someone else entirely. Someone from this very town. As Willie puts her archaeological skills to work digging for the truth about her lineage, she discovers that the secrets of her family run deep. Through letters, editorials, and journal entries, the dead rise up to tell their sides of the story as dark mysteries come to light, past and present blur, old stories are finally put to rest, and the shocking truth about more than one monster is revealed.","['Fiction', 'Mystery', 'Fantasy', 'Historical Fiction', 'Magical Realism', 'Literary Fiction', 'Contemporary']"
33,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(from the back cover)","['Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels', 'Read For School']"
34,The Time Traveler’s Wife,Audrey Niffenegger,"This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force they can neither prevent nor control, Henry and Clare’s struggle to lead normal lives is both intensely moving and entirely unforgettable.","['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
35,Evermore,Alyson Noel,"The first book in Alyson Noël's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school—but everything changes when she meets Damen Auguste.Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head—wielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really is—or what he is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him.","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fiction', 'Supernatural']"
